Lon	Lat	Region	TypeCatOld	KW_Simple	KW_Working	Name	Map
39.33450	37.75537	Aqur	waystations	etape	etape	Bāmaqarā/Bāmaqdaŧ ?	cornu2
41.91628	37.78735	Aqur	villages	localite	localite	Ṭanzaŧ	cornu2
38.05966	37.82371	Aqur	sites	placefrontiere	placefrontiere	Ḥiṣn Manṣūr	cornu2
40.67909	37.84795	Aqur	regions	circonscription	circonscription	Diyār Bakr	cornu2
41.97905	37.88869	Aqur	waters	riviere	riviere	Nahr al-Razb/al-Razm/al-Zarm	cornu2
40.21323	37.91510	Aqur	capitals	capitale	capitale	Āmid	cornu2
39.61765	37.92941	Aqur	waystations	etape	etape	Ǧarnān ?	cornu2
41.65964	37.97890	Aqur	villages	localite	localite	Arzan	cornu2
41.17006	37.98330	Aqur	waters	riviere	riviere	Wādī Masūliyāt/Nahr Sātīdamā/Wādī Sātīdamā	cornu2
41.49366	38.01078	Aqur	waters	riviere	riviere	Wādī Ṣarbaṭ/Nahr Ṣarbaṭ/Ṣarbaṭ	cornu2
40.08449	38.07602	Aqur	waters	riviere	riviere	Nahr al-Ḏīb/Nahr al-Kilāb	cornu2
37.90461	38.09311	Aqur	sites	placefrontiere	placefrontiere	Zibaṭraŧ	cornu2
41.00798	38.14322	Aqur	towns	cite	cite	Mayyāfāriqīn	cornu2
40.42465	38.18191	Aqur	waters	riviere	riviere	Wādī al-Rams/al-Rass/Wādī Ṣalb	cornu2
39.75447	38.19784	Aqur	towns	cite	cite?	Tall Ḥūm	cornu2
38.35767	38.35806	Aqur	towns	cite	cite	Malaṭīn/Malaṭiyaŧ 	cornu2
37.96251	38.36373	Aqur	waystations	etape	etape	ʿArqaŧ	cornu2
42.13266	38.39550	Aqur	towns	cite	cite	Badlīs/Bidlīs	cornu2
40.56071	38.57565	Aqur	sites	forteresse	forteresse	Ribāṭ Ḏū al-Qarnayn	cornu2
39.83119	38.61412	Aqur	sites	placefrontiere	placefrontiere	Šimšāṭ	cornu2
39.22470	38.75874	Aqur	sites	forteresse	forteresse	Ḥiṣn Ziyād	cornu2
40.22779	38.77905	Aqur	waters	riviere	riviere	Nahr Arsanās	cornu2
38.53819	39.05271	Aqur	sites	placefrontiere	placefrontiere	Qalʿaŧ Ibrīq	cornu2
42.55713	39.14370	Aqur	towns	cite	cite	Malāzkird/Malāzǧird/Manāzǧird	cornu2
39.02492	39.58627	Aqur	sites	placefrontiere	placefrontiere	Kamaḫ/Kamāḫ	cornu2
41.21428	34.45727	Aqur/Iraq	waters	riviere	riviere	Nahr al-Furāt	cornu2
43.92995	26.08634	Badiyat al-Arab	waystations	etape	etape	al-Qaryatayn	cornu9
44.45181	26.35812	Badiyat al-Arab	waystations	etape	etape	al-Nibāǧ	cornu7
41.94575	27.05571	Badiyat al-Arab	regions	vallee	vallee	Wādī Ṭayy #?	cornu9
42.50815	27.06977	Badiyat al-Arab	towns	cite	cite	Fayd	cornu9
37.83126	27.15186	Badiyat al-Arab	waystations	etape	etape	al-Aqrāʿ	cornu7
42.35028	27.24360	Badiyat al-Arab	regions	region	region	Salmā #?	cornu9
42.21215	27.27430	Badiyat al-Arab	regions	region	region	al-Manhab	cornu9
42.97781	27.44255	Badiyat al-Arab	waystations	etape	etape	al-Aǧfur	cornu9
38.52000	27.58081	Badiyat al-Arab	towns	cite	cite	Taymāʾ	cornu9
37.46327	27.73026	Badiyat al-Arab	waystations	etape	etape	al-Muḥdaṯaŧ	cornu9
43.13666	27.91046	Badiyat al-Arab	waystations	etape	etape	al-Ḫuzaymiyyaŧ	cornu9
37.19786	27.92136	Badiyat al-Arab	waystations	etape	etape	al-Ǧunaynaŧ	cornu9
43.16528	28.29472	Badiyat al-Arab	sites	forteresse	forteresse	al-Ṯaʿlabiyyaŧ	cornu9
36.50620	28.37114	Badiyat al-Arab	towns	cite	cite	Tabūk	cornu9
45.92797	28.41584	Badiyat al-Arab	waystations	etape	etape	Ḥafar Abū Mūsá	cornu9
43.99014	28.46139	Badiyat al-Arab	regions	region	region	al-Habīr	cornu9
43.27579	28.74899	Badiyat al-Arab	waystations	etape	etape	Biṭān/Qabr al-ʿIdādī	cornu9
37.89149	28.87521	Badiyat al-Arab	sites	pointdeau	pointdeau	Ṯaǧr	cornu9
38.70747	29.01767	Badiyat al-Arab	sites	pointdeau	pointdeau	Muḫrī	cornu9
43.41491	29.08495	Badiyat al-Arab	waystations	etape	etape	al-Šuqūq	cornu9
43.56390	29.40521	Badiyat al-Arab	sites	forteresse	forteresse	Zubālaŧ	cornu9
39.87767	29.75959	Badiyat al-Arab	villages	localite	localite	Dawmaŧ al-Ǧandal	cornu9
43.61126	29.78571	Badiyat al-Arab	waystations	etape	etape	al-Qāʾ	cornu9
37.43170	29.87858	Badiyat al-Arab	waystations	etape	etape	al-Aǧwalī	cornu9
38.67294	29.99999	Badiyat al-Arab	sites	mares	mares	ʿArfaǧāʾ	cornu9
43.61471	30.09074	Badiyat al-Arab	waystations	etape	etape	al-ʿAqabaŧ	cornu9
38.12681	30.48436	Badiyat al-Arab	sites	mares	mares	al-Ǧarbā/al-Ǧarbá	cornu9
43.77652	30.55363	Badiyat al-Arab	sites	forteresse	forteresse	Wāqisaŧ #	cornu9
36.70106	30.73317	Badiyat al-Arab	waystations	etape	etape	Ubayr/Wubayr	cornu9
37.96500	30.86285	Badiyat al-Arab	regions	region	region	Baṭn al-Sirr	cornu9
43.81303	30.87576	Badiyat al-Arab	sites	puits	puits	Qarʿāʾ	cornu9
44.00938	31.10097	Badiyat al-Arab	sites	puits	puits	al-Muġīṯaŧ	cornu9
37.46475	31.21242	Badiyat al-Arab	sites	pointdeau	pointdeau	al-Nabk	cornu9
37.75187	31.32585	Badiyat al-Arab	waystations	etape	etape	Qurākir/Qurāqir	cornu9
37.34142	31.36925	Badiyat al-Arab	towns	cite	cite	al-Ġurrabaŧ	cornu9
39.82192	31.43199	Badiyat al-Arab	waystations	etape	etape	al-Ḥašiyyaŧ	cornu9
40.76716	31.48039	Badiyat al-Arab	waystations	etape	etape	al-Ḫanfas/al-Ḥanfas/al-Ǧanfas	cornu9
44.13666	31.49049	Badiyat al-Arab	villages	localite	localite	al-Uḏayb	cornu9
42.85300	31.49890	Badiyat al-Arab	waystations	etape	etape	al-Naḥīt	cornu9
41.79330	31.51068	Badiyat al-Arab	waystations	etape	etape	al-Qurāy	cornu9
37.15494	31.51278	Badiyat al-Arab	waystations	etape	etape	al-Muḥdaṯaŧ	cornu9
36.92899	31.64055	Badiyat al-Arab	waystations	etape	etape	al-ʿAwnīd	cornu9
40.70599	31.64853	Badiyat al-Arab	waystations	etape	etape	al-Ḫaṭṭá	cornu9
38.71981	31.65819	Badiyat al-Arab	waystations	etape	etape	al-Uǧayfir	cornu9
41.46573	31.67372	Badiyat al-Arab	waystations	etape	etape	al-Ǧamʿ	cornu9
42.07352	31.70731	Badiyat al-Arab	waystations	etape	etape	al-Ḥusá/al-Ǧusá	cornu9
36.87768	31.84612	Badiyat al-Arab	waystations	etape	etape	al-Azraq	cornu9
40.18305	31.84948	Badiyat al-Arab	waystations	etape	etape	al-Ǧubbaŧ/al-Maḥnaŧ	cornu9
43.95117	31.85995	Badiyat al-Arab	waystations	etape	etape	al-Ruhaymaŧ	cornu9
42.45438	31.86163	Badiyat al-Arab	waystations	etape	etape	al-Abyaḍ	cornu9
43.82290	31.93660	Badiyat al-Arab	waystations	etape	etape	al-Quṭquṭānaŧ	cornu9
39.67590	31.99770	Badiyat al-Arab	waystations	etape	etape	al-Ḫafiyyaŧ	cornu9
38.64087	32.03911	Badiyat al-Arab	waystations	etape	etape	al-Rawārá/al-Dawārá	cornu9
41.37298	32.07507	Badiyat al-Arab	waystations	etape	etape	al-Ḫalāṭ	cornu9
37.98572	32.13274	Badiyat al-Arab	waystations	etape	etape	al-Sāʿidaŧ	cornu9
39.59203	32.14778	Badiyat al-Arab	waystations	etape	etape	al-Qulūfī/al-ʿAlawī	cornu9
37.32662	32.21167	Badiyat al-Arab	waystations	etape	etape	al-Baqīʿaŧ	cornu9
42.23928	32.28927	Badiyat al-Arab	waystations	etape	etape	al-Aḫdamiyyaŧ	cornu9
36.79381	32.31179	Badiyat al-Arab	waystations	etape	etape	al-Aʿnak	cornu9
37.85153	33.72767	Badiyat al-Arab	waystations	etape	etape	Suwá	cornu9
14.78841	25.78099	Barqa	villages	localite	localite	Zawīlaŧ/Zawīlaŧ b. al-Ḫaṭṭ_ab	cornu13
21.21413	28.95651	Barqa	villages	bourgade	bourgade?	Awǧilaŧ	cornu13
21.21413	28.95651	Barqa	regions	oasis	oasis	Awǧilaŧ	cornu13
16.28326	28.96493	Barqa	villages	bourgade	bourgade?	Waddān	cornu13
16.28326	28.96493	Barqa	regions	oasis	oasis	Waddān	cornu13
18.63423	29.78891	Barqa	regions	region	region	Sabḫaŧ Manhūšā	cornu13
9.47597	30.12935	Barqa	towns	cite	cite	Ġadāmis	cornu13
20.20218	30.46697	Barqa	towns	cite	cite	Aǧdābiyyaŧ	cornu13
18.19751	30.54115	Barqa	waystations	etape	etape	Qaṣr al-ʿAṭiš	cornu13
17.72231	30.77615	Barqa	waystations	etape	etape	al-Yahūdiyyatayn	cornu13
28.85190	30.80549	Barqa	waystations	etape	etape	Ḥaniyyaŧ al-Rūm/Quṣūr al-Rūm	cornu13
28.30167	30.84844	Barqa	waystations	etape	etape	al-Ṭaḥūnaŧ	cornu13
29.30208	30.86496	Barqa	towns	cite	cite	Ḏāt al-Ḥumām/Ḏāt al-Ḥammām	cornu11
27.94768	30.91449	Barqa	waystations	etape	etape	Kanāʾis al-Ḥadīd/Kanāʾis al-Ḥarīr ?	cornu13
17.29329	30.94914	Barqa	waystations	etape	etape	Qaṣr al-ʿIbādī/Qabr al-ʿIbādī	cornu13
27.61485	31.02336	Barqa	towns	cite	cite	Ramādaŧ ?	cornu13
27.30318	31.04479	Barqa	waystations	etape	etape	Ǧubb al-ʿAwsaǧ ?	cornu13
16.60839	31.09917	Barqa	towns	cite	cite	Surt	cornu13
16.44486	31.18315	Barqa	sites	site	site	al-Qaryatayn ?	cornu13
16.22169	31.19302	Barqa	waystations	etape	etape	Maġmadāš ?	cornu13
26.77604	31.19426	Barqa	waystations	etape	etape	Sikkaŧ al-Ḥammām ?	cornu13
