geoTitle,cornuName,geoTitleOther,lat,lon,cornuRegion,geoProv,geoFinalReg,eiSearch
معرة قنسرين,معرة قنسرين,معرة قنسرين,36.01376,36.69667,Sham,الشام,قنسرين,Maarra Qinnasrin
حمص,حمص,حمص,34.73793,36.72425,Sham,الشام,حمص,Hims
سلمية,سلمية,سلمية,35.00401,37.07106,Sham,الشام,حمص,Salamiyya
تدمر,تدمر,تدمر,34.54735,38.28754,Sham,الشام,حمص,Tadmur
الخناصرة,الخناصرة,الخناصرة,35.78031,37.50551,Sham,الشام,حمص,al-Khunasira
كفرطاب,كفرطاب,كفرطاب,35.50744,36.61239,Sham,الشام,حمص,Kafartab
اللاذقية,اللاذقية,اللاذقية,35.51961,35.80763,Sham,الشام,حمص,al-Ladhiqiyya
جبلة,جبلة,جبلة,35.36567,35.95309,Sham,الشام,حمص,Jabala
أنطرسوس,طرسوس,أنطرسوس,36.90807,34.95529,Sham,الشام,حمص,|Tarsus, Antarsus, Antartus|
أنطرسوس,أنطرطوس,أنطرسوس,34.89985,35.90356,Sham,الشام,حمص,|Antartus, Antarsus, Tartus|
بلنياس,بلنياس,بلنياس,35.18256,35.97212,Sham,الشام,حمص,Bulunyas
دمشق,دمشق,دمشق,33.51843,36.30199,Sham,الشام,دمشق,Dimashq
بانياس,بانياس,بانياس,33.2515,35.67787,Sham,الشام,دمشق,Baniyas
بيروت,بيروت,بيروت,32.06082,47.90375,Khuzistan,الشام,دمشق,Bayrut
بيروت,بيروت,بيروت,33.90162,35.5091,Sham,الشام,دمشق,Bayrut
أطرابلس,أطرابلس,أطرابلس/ طرابلس,32.87801,13.19209,Barqa,الشام,دمشق,|Atrabulus, Tarabulus|
أطرابلس,أطرابلس,أطرابلس/ طرابلس,34.44044,35.85194,Sham,الشام,دمشق,|Atrabulus, Tarabulus|
عرقة,عرقة,عرقة,38.36373,37.96251,Aqur,الشام,دمشق,Arqa
عرقة,عرقة,عرقة,34.52991,36.073,Sham,الشام,دمشق,Arqa
عرقة,عرقة,عرقة,17.31174,43.71306,Yemen,الشام,دمشق,Ariqa
بعلبك,بعلبك,بعلبك,34.01251,36.19213,Sham,الشام,البقاع,Balabakk
عرجموش,عرجموش,عرجموش,33.86315,35.89165,Sham,الشام,البقاع,Arjamush
الرملة,الرملة,الرملة,31.92484,34.86436,Sham,الشام,فلسطين,al-Ramla
الرملة,الرمل,الرمل,40.13581,63.16025,Transoxiana,الشام,فلسطين,al-Raml
بيت المقدس,بيت المقدس,بيت المقدس/ القدس/ إيليا,31.77768,35.20345,Sham,الشام,فلسطين,|Bayt al-Maqdis, al-Quds, Iliya|
بيت جبريل,بيت جبريل,بيت جبريل/ بيت جبرين,31.60564,34.88059,Sham,الشام,فلسطين,|Bayt Jibril, Bayt Jibrin|
غزة,غزة,غزة,35.06747,-1.92701,Maghrib,الشام,فلسطين,Ghuzza
غزة,غزة,غزة,31.49664,34.45664,Sham,الشام,فلسطين,Ghazza
ميماس,ميماس,ميماس,31.50145,34.42276,Sham,الشام,فلسطين,Mimas
عسقلان,عسقلان,عسقلان,31.66572,34.55455,Sham,الشام,فلسطين,Asqalan
أرسوف,أرسوف,أرسوف,32.19588,34.80739,Sham,الشام,فلسطين,Arsuf
قيسارية,قيسرية,قيسرية,32.49326,34.89906,Sham,الشام,فلسطين,Qaysariyya
نابلس,نابلس,نابلس,32.22047,35.24238,Sham,الشام,فلسطين,Nabulus
أريحا,رحا,أريحا,31.86043,35.43774,Sham,الشام,فلسطين,|Riha, Ariha|
عمان,عمان,عمان,23.82088,56.45284,Jazirat al-Arab,الشام,فلسطين,Uman
عمان,عمان,عمان,31.93113,35.91903,Sham,الشام,فلسطين,Amman
صغر,صغر,صغر/ زغر,31.03706,35.46845,Sham,الشام,الشراة,|Sughar, Zughar|
مآب,مآب,مآب/ مؤاب,31.2579,35.73272,Sham,الشام,الشراة,|Maab, Muab|
معان,معان,معان/ معان,30.19664,35.72442,Sham,الشام,الشراة,|Maan, Muan|
تبوك,تبوك,تبوك,28.37114,36.5062,Badiyat al-Arab,الشام,الشراة,Tabuk
الفرما,الفرما,الفرما,31.02282,32.59811,Egypt,مصر,الجفار,al-Farama
البقارة,البقارة,البقارة,31.02385,33.12566,Egypt,مصر,الجفار,al-Baqqara
البقارة,البارة,البارة,35.6843,36.54442,Sham,مصر,الجفار,al-Bara
العريش,العريش,العريش,31.12453,33.80807,Egypt,مصر,الجفار,al-Arish
العريش,العرش,العرش,16.96745,42.82787,Yemen,مصر,الجفار,al-Ursh
بلبيس,بلبيس,بلبيس,30.41776,31.57097,Egypt,مصر,الحوف,Bilbays
مشتول,مشتول,مشتول,30.36522,31.37174,Egypt,مصر,الحوف,Mashtul
جرجير,جرجير,جرجير,30.91373,32.19454,Egypt,مصر,الحوف,Jurjir
فاقوس,فاقوس,فاقوس,30.71061,31.79581,Egypt,مصر,الحوف,Faqus
غيفا,غيفا,غيفا,30.38241,31.51348,Egypt,مصر,الحوف,Ghayfa
تونة,تونة,تونة,31.16442,32.0824,Egypt,مصر,الحوف,Tuna
القلزم,القلزم,القلزم,30.02822,32.55684,Egypt,مصر,الحوف,al-Qulzum
العباسية,العباسية,العباسية,30.53647,31.70644,Egypt,مصر,الريف,al-Abbasiyya
شبرو,شبروا,شبرو,30.11048,31.24225,Egypt,مصر,الريف,|Shabruwa, Shubru|
منهور,دمنهور,دمنهور,31.03855,30.45872,Egypt,مصر,الريف,Damanhur
سنهور,سنهور,سنهور,31.16283,30.70832,Egypt,مصر,الريف,Sanhur
بنها العسل,بنها العسل,بنها العسل,30.43641,31.16142,Egypt,مصر,الريف,Banha al-Asal
شطنوف,شطنوف,شطنوف,30.23314,31.06351,Egypt,مصر,الريف,Shatnuf
مليج,مليج,مليج,30.58083,31.01342,Egypt,مصر,الريف,Malij
المحلة الكبيرة,محلة الكبيرة,محلة الكبيرة,30.97329,31.14662,Egypt,مصر,الريف,Mahalla al-Kabira
دميرة,دميرة,دميرة/ دميرة,31.1414,31.3504,Egypt,مصر,الريف,|Damira, Dumayra|
دقهلة,دقهلة,دقهلة,31.28355,31.66289,Egypt,مصر,الريف,Daqahla
العزيزية,منف,العزيزية,29.85447,31.25648,Egypt,مصر,مقدونية,|Manf, al-Aziziyya|
الجيزة,الجيزة,الجيزة,30.00653,31.20183,Egypt,مصر,مقدونية,al-Jiza
عين شمس,عين شمس,عين شمس,30.12919,31.3077,Egypt,مصر,مقدونية,Ayn Shams
أسوان,أسوان,أسوان,24.10701,32.98286,Egypt,مصر,الصعيد,Uswan
حلوان,حلوان,حلوان,29.86015,31.29831,Egypt,مصر,الصعيد,Hulwan
حلوان,حلوان,حلوان,34.47862,45.93468,Iraq,مصر,الصعيد,Hulwan
حلوان,حلوان,حلوان,33.94771,56.22435,Mafaza,مصر,الصعيد,Hulwan
قوص,قوص,قوص,25.91848,32.74342,Egypt,مصر,الصعيد,Qus
