id,diedAt,country,city
HA5190,914,MACROREG-RUM,AMID_402E379N_S_AQUR
HA5191,955,MACROREG-ARABIA,SANA_442E153N_S_YEME
HA5192,1048,MACROREG-SARABIA,MADINA_396E244N_S_JAZI
HA5194,1059,MACROREG-RUM,AMID_402E379N_S_AQUR
HA5195,1062,MACROREG-MAGHRIB,BISKARA_057E348N_S_MAGH
HA5196,1080,MACROREG-ARABIA,SANA_442E153N_S_YEME
HA5196,1080,MACROREG-MAGHRIB,BISKARA_057E348N_S_MAGH
HA5197,1127,MACROREG-RUM,AMID_402E379N_S_AQUR
HA5197,1127,MACROREG-SYRIA,DIMASHQ_363E335N_S_SHAM
HA5199,1182,MACROREG-EGYPT,QAHIRA_312E300N_S_EGYP
HA5200,1190,MACROREG-IRAQ,BAGHDAD_443E333N_S_IRAQ
HA5202,0,MACROREG-EGYPT,QAHIRA_312E300N_S_EGYP
HA5204,1030,MACROREG-IRAQ,BAGHDAD_443E333N_S_IRAQ
HA5205,685,MACROREG-SYRIA,DIMASHQ_363E335N_S_SHAM
HA5206,988,MACROREG-INDIA,KANBAYA_725E223N_S_SIND
HA5206,988,MACROREG-IRAN,ISBAHAN_516E326N_S_JIBA
HA5207,1126,MACROREG-INDIA,KANBAYA_725E223N_S_SIND
HA5208,117,MACROREG-IRAN,ISBAHAN_516E326N_S_JIBA
HA5209,1240,MACROREG-INDIA,KANBAYA_725E223N_S_SIND
HA5211,0,MACROREG-IRAN,ISBAHAN_516E326N_S_JIBA
HA5212,401,MACROREG-EGYPT,QAHIRA_312E300N_S_EGYP
HA5212,401,MACROREG-SYRIA,DIMASHQ_363E335N_S_SHAM
HA5213,759,MACROREG-ANDALUS,QURTUBA_047W379N_S_ANDA
HA5216,0,MACROREG-ARABIA,SANA_442E153N_S_YEME
HA5217,1016,MACROREG-EGYPT,QAHIRA_312E300N_S_EGYP
HA5218,247,MACROREG-IRAQ,BAGHDAD_443E333N_S_IRAQ
HA5219,528,MACROREG-ANDALUS,QURTUBA_047W379N_S_ANDA
HA5219,528,MACROREG-MAGHRIB,BISKARA_057E348N_S_MAGH
HA5220,622,MACROREG-IRAN,ISBAHAN_516E326N_S_JIBA
HA5221,663,MACROREG-EGYPT,QAHIRA_312E300N_S_EGYP
HA5221,663,MACROREG-MAGHRIB,BISKARA_057E348N_S_MAGH
HA5222,1224,MACROREG-INDIA,KANBAYA_725E223N_S_SIND
HA5224,857,MACROREG-IRAN,ISBAHAN_516E326N_S_JIBA
HA5224,857,MACROREG-RUM,AMID_402E379N_S_AQUR
HA5225,910,MACROREG-IRAN,ISBAHAN_516E326N_S_JIBA
HA5225,910,MACROREG-SARABIA,MADINA_396E244N_S_JAZI
HA5226,969,MACROREG-RUM,AMID_402E379N_S_AQUR
HA5227,1042,MACROREG-SYRIA,DIMASHQ_363E335N_S_SHAM
HA5228,1052,MACROREG-SYRIA,DIMASHQ_363E335N_S_SHAM
HA5229,1211,MACROREG-IRAN,ISBAHAN_516E326N_S_JIBA
HA5229,1211,MACROREG-RUM,AMID_402E379N_S_AQUR
HA5231,615,MACROREG-SYRIA,DIMASHQ_363E335N_S_SHAM
HA5233,749,MACROREG-IRAQ,BAGHDAD_443E333N_S_IRAQ
HA5233,749,MACROREG-SYRIA,DIMASHQ_363E335N_S_SHAM
HA5235,782,MACROREG-ANDALUS,QURTUBA_047W379N_S_ANDA
HA5236,0,MACROREG-IRAQ,BAGHDAD_443E333N_S_IRAQ
HA5237,896,MACROREG-SYRIA,DIMASHQ_363E335N_S_SHAM
HA5238,965,MACROREG-RUM,AMID_402E379N_S_AQUR
HA5239,1276,MACROREG-SYRIA,DIMASHQ_363E335N_S_SHAM
HA5240,1000,MACROREG-ARABIA,SANA_442E153N_S_YEME
HA5240,1000,MACROREG-RUM,AMID_402E379N_S_AQUR
HA5242,260,MACROREG-IRAN,ISBAHAN_516E326N_S_JIBA
HA5243,200,MACROREG-IRAQ,BAGHDAD_443E333N_S_IRAQ
HA5245,219,MACROREG-IRAQ,BAGHDAD_443E333N_S_IRAQ
HA5246,245,MACROREG-IRAQ,BAGHDAD_443E333N_S_IRAQ
HA5247,250,MACROREG-IRAQ,BAGHDAD_443E333N_S_IRAQ
HA5249,270,MACROREG-IRAN,ISBAHAN_516E326N_S_JIBA
HA5251,211,MACROREG-MAWARANNAHR,BALAYAN_694E411N_S_TRAN
HA5252,290,MACROREG-IRAQ,BAGHDAD_443E333N_S_IRAQ
HA5254,305,MACROREG-IRAQ,BAGHDAD_443E333N_S_IRAQ
HA5255,420,MACROREG-IRAQ,BAGHDAD_443E333N_S_IRAQ
HA5257,444,MACROREG-IRAQ,BAGHDAD_443E333N_S_IRAQ
HA5258,445,MACROREG-IRAN,ISBAHAN_516E326N_S_JIBA
