Lon	Lat	Region	TypeCat	KW	Name	Map
37.98572	32.13274	Badiyat al-Arab	waystations	etape	al-Sāʿidaŧ	cornu9
43.41491	29.08495	Badiyat al-Arab	waystations	etape	al-Šuqūq	cornu9
43.16528	28.29472	Badiyat al-Arab	sites	forteresse	al-Ṯaʿlabiyyaŧ	cornu9
44.13666	31.49049	Badiyat al-Arab	villages	localite	al-Uḏayb	cornu9
38.71981	31.65819	Badiyat al-Arab	waystations	etape	al-Uǧayfir	cornu9
38.67294	29.99999	Badiyat al-Arab	sites	mares	ʿArfaǧāʾ	cornu9
37.965	30.86285	Badiyat al-Arab	regions	region	Baṭn al-Sirr	cornu9
43.27579	28.74899	Badiyat al-Arab	waystations	etape	Biṭān/Qabr al-ʿIdādī	cornu9
39.87767	29.75959	Badiyat al-Arab	villages	localite	Dawmaŧ al-Ǧandal	cornu9
42.50815	27.06977	Badiyat al-Arab	towns	cite	Fayd	cornu9
45.92797	28.41584	Badiyat al-Arab	waystations	etape	Ḥafar Abū Mūsá	cornu9
38.70747	29.01767	Badiyat al-Arab	sites	pointdeau	Muḫrī	cornu9
43.81303	30.87576	Badiyat al-Arab	sites	puits	Qarʿāʾ	cornu9
37.75187	31.32585	Badiyat al-Arab	waystations	etape	Qurākir/Qurāqir	cornu9
42.35028	27.2436	Badiyat al-Arab	regions	region	Salmā #?	cornu9
37.85153	33.72767	Badiyat al-Arab	waystations	etape	Suwá	cornu9
36.5062	28.37114	Badiyat al-Arab	towns	cite	Tabūk	cornu9
37.89149	28.87521	Badiyat al-Arab	sites	pointdeau	Ṯaǧr	cornu9
38.52	27.58081	Badiyat al-Arab	towns	cite	Taymāʾ	cornu9
36.70106	30.73317	Badiyat al-Arab	waystations	etape	Ubayr/Wubayr	cornu9
41.94575	27.05571	Badiyat al-Arab	regions	vallee	Wādī Ṭayy #?	cornu9
43.77652	30.55363	Badiyat al-Arab	sites	forteresse	Wāqisaŧ #	cornu9
43.5639	29.40521	Badiyat al-Arab	sites	forteresse	Zubālaŧ	cornu9
20.20218	30.46697	Barqa	towns	cite	Aǧdābiyyaŧ	cornu13
25.18308	31.42889	Barqa	waystations	etape	al-ʿAqabaŧ	cornu13
10.50881	33.55129	Barqa	waystations	etape	al-Fawwāraŧ ?	cornu13
16.44486	31.18315	Barqa	sites	site	al-Qaryatayn ?	cornu13
28.30167	30.84844	Barqa	waystations	etape	al-Ṭaḥūnaŧ	cornu13
17.72231	30.77615	Barqa	waystations	etape	al-Yahūdiyyatayn	cornu13
13.19209	32.87801	Barqa	towns	cite	Aṭrābulus/Ṭarābulus	cornu13
21.21413	28.95651	Barqa	regions	oasis	Awǧilaŧ	cornu13
11.63847	33.05675	Barqa	waystations	etape	Bārǧamt/Abār Daḫt ?	cornu13
20.08482	32.11419	Barqa	towns	cite	Barnīq	cornu13
20.84475	32.37576	Barqa	capitals	capitale	Barqaŧ	cornu13
20.84475	32.37576	Barqa	regions	circon	Barqaŧ	cornu13
29.30208	30.86496	Barqa	towns	cite	Ḏāt al-Ḥumām/Ḏāt al-Ḥammām	cornu11
9.47597	30.12935	Barqa	towns	cite	Ġadāmis	cornu13
23.96719	31.99027	Barqa	waystations	etape	Ǧiyād al-Ṣaġīr ?	cornu13
27.30318	31.04479	Barqa	waystations	etape	Ǧubb al-ʿAwsaǧ ?	cornu13
23.31692	32.18179	Barqa	waystations	etape	Ǧubb al-Maydān/Ǧubb al-Maydaʿān ?	cornu13
22.203	32.77902	Barqa	waystations	etape	Ḥalīmān/Ǧubb Ḥalīmān ?	cornu13
28.8519	30.80549	Barqa	waystations	etape	Ḥaniyyaŧ al-Rūm/Quṣūr al-Rūm	cornu13
25.51014	31.41576	Barqa	waystations	etape	Ḫarāʾib Abū Ḥalīmaŧ ?	cornu13
24.49433	31.87271	Barqa	waystations	etape	Ḥayy ʿAbd Allãh ?	cornu13
26.11423	31.35376	Barqa	waystations	etape	Ḫirbaŧ al-Qawm ?	cornu13
27.94768	30.91449	Barqa	waystations	etape	Kanāʾis al-Ḥadīd/Kanāʾis al-Ḥarīr ?	cornu13
16.22169	31.19302	Barqa	waystations	etape	Maġmadāš ?	cornu13
24.83486	31.67644	Barqa	waystations	etape	Marǧ al-Šayḫ ?	cornu13
10.08563	33.86603	Barqa	towns	cite	Qābis	cornu13
18.19751	30.54115	Barqa	waystations	etape	Qaṣr al-ʿAṭiš	cornu13
17.29329	30.94914	Barqa	waystations	etape	Qaṣr al-ʿIbādī/Qabr al-ʿIbādī	cornu13
26.37011	31.32418	Barqa	waystations	etape	Qaṣr al-Šammās	cornu13
15.87924	31.25883	Barqa	waystations	etape	Quṣūr Ḥassān ?	cornu13
27.61485	31.02336	Barqa	towns	cite	Ramādaŧ ?	cornu13
18.63423	29.78891	Barqa	regions	region	Sabḫaŧ Manhūšā	cornu13
12.48146	32.78822	Barqa	towns	cite	Ṣabraŧ	cornu13
26.77604	31.19426	Barqa	waystations	etape	Sikkaŧ al-Ḥammām ?	cornu13
20.24835	31.4018	Barqa	waystations	etape	Sulūq	cornu13
16.60839	31.09917	Barqa	towns	cite	Surt	cornu13
14.86251	31.98024	Barqa	villages	localite	Tawarġaŧ	cornu13
16.28326	28.96493	Barqa	regions	oasis	Waddān	cornu13
13.57504	32.73756	Barqa	waystations	etape	Wādī al-Raml	cornu13
22.62048	32.2648	Barqa	waters	wadi	Wādī Maḫīl	cornu13
14.78841	25.78099	Barqa	villages	localite	Zawīlaŧ/Zawīlaŧ b. al-Ḫaṭṭ_ab	cornu13
54.04327	37.02772	Daylam	towns	cite/port	Ābaskūn	cornu16
51.77466	35.42345	Daylam	villages	village	Afrīḏīn ?	cornu16
