geoTitle,cornuName,geoTitleOther,lat,lon,cornuRegion,geoProv,geoFinalReg
حصن مسلمة,حصن مسلمة,حصن مسلمة,36.38728,39.07106,Aqur,أقور,ديار مضر
حران,حران,حران,36.88438,39.08906,Aqur,أقور,ديار مضر
الرها,الرها,الرها,37.1497,38.82122,Aqur,أقور,ديار مضر
آمد,آمد,آمد,37.9151,40.21323,Aqur,أقور,ديار بکر
ميافارقين,ميافارقين,ميافارقين,38.14322,41.00798,Aqur,أقور,ديار بکر
تل فافان,تل فافان,تل فافان/ عين تل فافان,37.72559,41.78238,Aqur,أقور,ديار بکر
الفار,الجفار,الجفار,30.75519,33.23727,Egypt,أقور,ديار بکر
الدامغان,الدمغان,الدمغان,36.13093,54.37503,Daylam,الديلم,قومس
سمنان,سمنان,سمنان,35.49513,53.40856,Daylam,الديلم,قومس
سمنان,سمنجان,سمنجان,36.22585,68.09011,Khurasan,الديلم,قومس
بسطام,بسطام,بسطام,36.45952,55.07205,Daylam,الديلم,قومس
بيار,بيار,بيار,36.05824,55.86992,Daylam,الديلم,قومس
مغون,مغون,مغون,27.97676,57.7882,Kirman,الديلم,قومس
شهرستان,شهرستان,شهرستان/ جرجان,37.19091,55.206,Daylam,الديلم,جرجان
شهرستان,شهرستان,شهرستان/ سابور,29.83157,51.51624,Faris,الديلم,جرجان
شهرستان,سابور,شهرستان,29.83157,51.51624,Faris,الديلم,جرجان
آبسكون,آبسكون,آبسكون,37.02772,54.04327,Daylam,الديلم,جرجان
ألهم,ألهم,ألهم,36.56405,52.23414,Daylam,الديلم,جرجان
آخر,آخر,آخر,39.19825,55.71277,Daylam,الديلم,جرجان
الرباط,الرباط,الرباط,29.12318,53.44663,Faris,الديلم,جرجان
آمل,آمل,آمل,36.42256,52.40859,Daylam,الديلم,طبرستان
آمل,آمل,آمل,39.06795,63.51255,Khurasan,الديلم,طبرستان
سالوس,شالوس,سالوس,36.60408,51.45535,Daylam,الديلم,طبرستان
ميلة,ميلة,ميلة,36.4708,52.55267,Daylam,الديلم,طبرستان
ما مطير,مامطير,مامطير,36.51713,52.74659,Daylam,الديلم,طبرستان
سارية,سارية,سارية,36.53215,53.11807,Rihab,الديلم,طبرستان
طميسة,طميشة,طميسة,36.7312,54.05573,Daylam,الديلم,طبرستان
ممطير,مامطير,مامطير,36.51713,52.74659,Daylam,الديلم,طبرستان
نامية,نامية,نامية,36.77488,54.32519,Daylam,الديلم,طبرستان
بروان,بروان,بروان,37.57057,48.55981,Daylam,الديلم,الديلمان
